elapsed_s,type,uav_a,uav_b,x,y,z,center_distance_m,clearance_m
2.230840,uav,3,4,-3.611474,1.026482,0.981110,0.499911,-0.000089
4.159691,uav,2,4,-3.526436,0.020509,0.983799,0.495148,-0.004852
4.559700,uav,1,4,-3.333498,-0.509005,0.941045,0.493975,-0.006025
11.240856,uav,3,4,-1.943234,-0.040340,1.040802,0.497778,-0.002222
11.672482,uav,1,2,-1.177765,2.060041,0.955134,0.496494,-0.003506
13.155168,uav,1,2,-1.356309,2.632664,1.008162,0.494013,-0.005987
16.710927,uav,3,4,-0.339290,-1.848871,1.186917,0.498547,-0.001453
18.170355,uav,3,4,0.182399,-1.361290,1.077069,0.494709,-0.005291
27.745118,uav,1,2,2.369707,1.012731,1.361178,0.499733,-0.000267
